[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 17:01:38"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = -100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
553.428678036E+0	-14.000000432E-3	-406.665566667E-12	1.371800534E-12	34.426323691E+6	116.129943359E+3	27.850118768E-9
560.918056011E+0	-14.999999665E-3	-436.906720000E-12	826.165301736E-15	34.332270432E+6	64.920334851E+3	30.241176541E-9
568.415295601E+0	-16.000000760E-3	-462.358033333E-12	2.100154709E-12	34.605218481E+6	157.186222142E+3	25.451285458E-9
575.909804821E+0	-17.000000924E-3	-494.780706667E-12	1.713097435E-12	34.358657674E+6	118.961243907E+3	32.422668019E-9
583.403554440E+0	-17.999999225E-3	-525.248983333E-12	2.207640419E-12	34.269460382E+6	144.035777863E+3	30.468328424E-9
590.896966457E+0	-18.999999389E-3	-556.861120000E-12	1.390826693E-12	34.119816785E+6	85.218289157E+3	31.612131485E-9
598.397726059E+0	-19.999999553E-3	-584.246976667E-12	2.324898171E-12	34.232097643E+6	136.220030889E+3	27.385852178E-9
605.887884617E+0	-20.999999717E-3	-611.495156667E-12	1.702579060E-12	34.342054042E+6	95.618193286E+3	27.248175534E-9
613.379684448E+0	-21.999999881E-3	-637.986756667E-12	1.821539649E-12	34.483474227E+6	98.455046102E+3	26.491595658E-9
620.869286060E+0	-23.000000045E-3	-665.449503333E-12	2.045476193E-12	34.563103480E+6	106.240976913E+3	27.462742165E-9
628.364867687E+0	-24.000000209E-3	-695.202300000E-12	1.830275064E-12	34.522325672E+6	90.887719799E+3	29.752791790E-9
635.863674164E+0	-25.000000373E-3	-725.504963333E-12	2.513219812E-12	34.458758570E+6	119.368493819E+3	30.302658366E-9
643.357054234E+0	-26.000000536E-3	-750.932326667E-12	1.225079552E-12	34.623626675E+6	56.485378990E+3	25.427359165E-9
650.847917557E+0	-27.000000700E-3	-784.077873333E-12	2.485553807E-12	34.435356001E+6	109.161262055E+3	33.145541234E-9
658.355034351E+0	-28.000000864E-3	-812.033273333E-12	1.883399151E-12	34.481346743E+6	79.974726799E+3	27.955395418E-9
665.844012737E+0	-28.999999166E-3	-841.196623333E-12	1.323530075E-12	34.474697545E+6	54.242132872E+3	29.163399541E-9
673.339789391E+0	-29.999999329E-3	-877.708403333E-12	2.028071335E-12	34.179915807E+6	78.977604869E+3	36.511774015E-9
680.835784435E+0	-30.999999493E-3	-910.795580000E-12	1.697496468E-12	34.036176914E+6	63.434969783E+3	33.087171243E-9
688.334257603E+0	-32.000001520E-3	-939.275306667E-12	3.363319902E-12	34.068820177E+6	121.992285028E+3	28.479668951E-9
695.829664707E+0	-32.999999821E-3	-962.329993333E-12	1.305959774E-12	34.291771066E+6	46.536711823E+3	23.054725830E-9
703.322409630E+0	-34.000001848E-3	-994.621550000E-12	1.480743384E-12	34.183858019E+6	50.891237572E+3	32.291491226E-9
710.820202351E+0	-35.000000149E-3	-1.021262433E-9	1.909606525E-12	34.271308732E+6	64.082171879E+3	26.640928589E-9
