[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20190830 16:46:30"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)
155.214819908E+0	-46.000000089E-3	-1.561674600E-9	7.740624601E-12	29.455560134E+6	145.999962737E+3	35.055959551E-9
158.084210396E+0	-45.000001788E-3	-1.520298033E-9	10.915799772E-12	29.599460633E+6	212.525293419E+3	41.376636954E-9
160.967661858E+0	-43.999999762E-3	-1.490805667E-9	5.957501972E-12	29.514242363E+6	117.943713933E+3	29.492306899E-9
163.838810444E+0	-43.000001460E-3	-1.442797800E-9	7.948889696E-12	29.803206978E+6	164.196538744E+3	48.007948219E-9
166.716682434E+0	-41.999999434E-3	-1.415289267E-9	8.198088162E-12	29.675911789E+6	171.898245021E+3	27.508477586E-9
169.582872868E+0	-41.000001132E-3	-1.369740400E-9	8.340373032E-12	29.932680041E+6	182.260607483E+3	45.548944042E-9
172.450693607E+0	-39.999999106E-3	-1.335809867E-9	6.929527788E-12	29.944380637E+6	155.336790727E+3	33.930464571E-9
175.321774483E+0	-39.000000805E-3	-1.295140800E-9	6.702171879E-12	30.112556723E+6	155.828255015E+3	40.669135753E-9
178.194223404E+0	-37.999998778E-3	-1.264253733E-9	6.685140201E-12	30.057256527E+6	158.937220160E+3	30.887004072E-9
181.063186646E+0	-37.000000477E-3	-1.222388900E-9	5.340839081E-12	30.268599851E+6	132.249009317E+3	41.864904451E-9
183.934527874E+0	-35.999998450E-3	-1.189536033E-9	9.164563776E-12	30.263899068E+6	233.162699866E+3	32.852800089E-9
186.803154469E+0	-35.000000149E-3	-1.156243100E-9	5.639855001E-12	30.270451040E+6	147.651436533E+3	33.292989889E-9
189.674728870E+0	-34.000001848E-3	-1.129083667E-9	5.983013486E-12	30.112916209E+6	159.568319946E+3	27.159479470E-9
192.541060925E+0	-32.999999821E-3	-1.092505200E-9	5.082913503E-12	30.205805722E+6	140.533425180E+3	36.578392538E-9
195.418772221E+0	-32.000001520E-3	-1.053852367E-9	5.588840966E-12	30.364785934E+6	161.032004976E+3	38.652898994E-9
198.286224842E+0	-30.999999493E-3	-1.019803900E-9	4.436730291E-12	30.398000531E+6	132.248689924E+3	34.048397666E-9
201.154823303E+0	-29.999999329E-3	-983.312090000E-12	5.308111475E-12	30.509132995E+6	164.694282313E+3	36.491804019E-9
208.761546612E+0	-28.999999166E-3	-946.240433333E-12	2.799188347E-12	30.647600910E+6	90.662377453E+3	37.071650590E-9
216.256947517E+0	-28.000000864E-3	-913.787946667E-12	2.484630164E-12	30.641683299E+6	83.316102911E+3	32.452541795E-9
223.748384953E+0	-27.000000700E-3	-876.839986667E-12	3.020712159E-12	30.792392125E+6	106.079734863E+3	36.947953944E-9
231.245487213E+0	-26.000000536E-3	-840.603836667E-12	2.654390951E-12	30.930147356E+6	97.668722978E+3	36.236144060E-9
238.738707542E+0	-25.000000373E-3	-800.963596667E-12	2.182999285E-12	31.212405254E+6	85.068358468E+3	39.640233502E-9
246.229396820E+0	-24.000000209E-3	-767.066793333E-12	2.327291567E-12	31.288018745E+6	94.928294111E+3	33.896797777E-9
253.724619389E+0	-23.000000045E-3	-735.114276667E-12	2.186558491E-12	31.287652512E+6	93.063465691E+3	31.952511429E-9
261.220194340E+0	-21.999999881E-3	-697.185406667E-12	1.942887375E-12	31.555450918E+6	87.937421813E+3	37.928863783E-9
268.712955952E+0	-20.999999717E-3	-661.808203333E-12	1.814401053E-12	31.731247227E+6	86.993796820E+3	35.377197535E-9
276.206730366E+0	-19.999999553E-3	-627.813446667E-12	1.187137515E-12	31.856596349E+6	60.237895254E+3	33.994751094E-9
283.699035168E+0	-18.999999389E-3	-594.010933333E-12	891.823609563E-15	31.985942216E+6	48.022379457E+3	33.802507793E-9
291.192370415E+0	-17.999999225E-3	-561.461003333E-12	2.057860278E-12	32.059215365E+6	117.503059800E+3	32.549924665E-9
298.687320232E+0	-17.000000924E-3	-531.859583333E-12	1.083828346E-12	31.963325390E+6	65.135158178E+3	29.601470285E-9
306.180585861E+0	-16.000000760E-3	-498.458020000E-12	931.664843319E-15	32.098993532E+6	59.996032925E+3	33.401557858E-9
313.678218365E+0	-14.999999665E-3	-465.153233333E-12	1.621577253E-12	32.247437167E+6	112.418245931E+3	33.304750190E-9
321.170262337E+0	-14.000000432E-3	-434.784490000E-12	840.877324010E-15	32.199861665E+6	62.274837611E+3	30.368766639E-9
328.661693096E+0	-13.000000268E-3	-401.214416667E-12	1.034604928E-12	32.401627978E+6	83.553537914E+3	33.570067831E-9
336.155715942E+0	-12.000000104E-3	-368.275873333E-12	1.061654308E-12	32.584268950E+6	93.932923677E+3	32.938537934E-9
343.646201134E+0	-10.999999940E-3	-336.580653333E-12	734.295555798E-15	32.681616817E+6	71.299302998E+3	31.695214805E-9
351.135581493E+0	-9.999999776E-3	-306.617423333E-12	1.003812124E-12	32.613931941E+6	106.772341667E+3	29.963225089E-9
358.627741814E+0	-8.999999613E-3	-275.137993333E-12	416.633509614E-15	32.710857209E+6	49.533105465E+3	31.479424840E-9
366.123865604E+0	-8.000000380E-3	-243.050763333E-12	687.287664255E-15	32.914936247E+6	93.075328554E+3	32.087254624E-9
373.615010738E+0	-7.000000216E-3	-211.718763333E-12	521.962319609E-15	33.062729566E+6	81.511429337E+3	31.331994864E-9
381.105233669E+0	-6.000000052E-3	-179.483836667E-12	563.836728925E-15	33.429194314E+6	105.015626603E+3	32.234921383E-9
388.591993809E+0	-4.999999888E-3	-148.981060000E-12	293.323954840E-15	33.561312346E+6	66.077774362E+3	30.502771667E-9
396.085154533E+0	-4.000000190E-3	-118.150583333E-12	464.495478678E-15	33.855103184E+6	133.097458476E+3	30.830485970E-9
403.574199200E+0	-3.000000026E-3	-84.087767000E-12	1.944960341E-12	35.677009072E+6	825.213585916E+3	34.062810750E-9
411.903194427E+0	-2.000000095E-3	-54.519355000E-12	123.676176636E-15	36.684221503E+6	83.217496947E+3	29.568414038E-9
419.821148872E+0	-1.000000047E-3	-24.114412333E-12	37.936736148E-15	41.468978538E+6	65.238898438E+3	30.404941223E-9
427.735716820E+0	1.686151219E-15	6.023245533E-12	51.662696881E-15	279.940641523E-6	2.401112229E-6	30.137656435E-9
435.645533562E+0	1.000000047E-3	31.644601667E-12	84.486447192E-15	31.600968090E+6	84.369951940E+3	25.621354916E-9
443.570440769E+0	2.000000095E-3	62.127733667E-12	115.068439889E-15	32.191743960E+6	59.623191385E+3	30.483130552E-9
451.480843544E+0	3.000000026E-3	92.592743333E-12	280.183283884E-15	32.399947535E+6	98.041416326E+3	30.465011766E-9
