[Main]
Experiment = "VvsI"
Header length = 65    
Date = "20181214 23:12:28"
Comments = "SD: 3I+ to 1I-; voltage1: 2I- to 2I+; voltage2h: 2I- to 3I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = 0.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 1.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "7"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "8"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 2]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = TRUE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Magnetic Field (T)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
1.989663376E+3	4.500012109E+0	1.000000000E-6	6.559277214E-3	-221.366135117E-6	58.034233500E-3	5.572743136E-6	5.876893329E-6	36.945488545E-6	6.559277214E+3	-221.366135103E+0	58.034233496E+3	5.572743136E+0	5.876893329E+0	36.945488542E+0	8.664800000E+0
2.034777862E+3	4.600021094E+0	1.000000000E-6	6.357035714E-3	-214.791526117E-6	56.258330833E-3	4.442295065E-6	5.132361470E-6	38.115773856E-6	6.357035713E+3	-214.791526103E+0	56.258330830E+3	4.442295065E+0	5.132361470E+0	38.115773854E+0	9.103500000E+0
2.079770254E+3	4.700024219E+0	1.000000000E-6	6.165686187E-3	-212.329171167E-6	54.582054667E-3	6.921613528E-6	6.780374593E-6	41.267801411E-6	6.165686187E+3	-212.329171153E+0	54.582054663E+3	6.921613528E+0	6.780374592E+0	41.267801409E+0	9.552600000E+0
2.124873397E+3	4.800022656E+0	1.000000000E-6	5.983798397E-3	-212.989215183E-6	52.992310333E-3	7.761809157E-6	6.439322437E-6	32.147195369E-6	5.983798396E+3	-212.989215170E+0	52.992310330E+3	7.761809156E+0	6.439322437E+0	32.147195367E+0	10.016000000E+0
2.170064657E+3	4.900013281E+0	1.000000000E-6	5.817401090E-3	-209.886004233E-6	51.479179000E-3	8.164002766E-6	6.037302702E-6	30.062507661E-6	5.817401090E+3	-209.886004220E+0	51.479178997E+3	8.164002765E+0	6.037302701E+0	30.062507660E+0	10.498100000E+0
2.215167578E+3	5.000031641E+0	1.000000000E-6	5.653937670E-3	-207.683509533E-6	50.012997167E-3	7.810372981E-6	5.880929197E-6	30.313314690E-6	5.653937669E+3	-207.683509520E+0	50.012997164E+3	7.810372981E+0	5.880929197E+0	30.313314688E+0	10.998900000E+0
2.260322811E+3	5.100026953E+0	1.000000000E-6	5.497384439E-3	-205.629751917E-6	48.608594833E-3	5.471626492E-6	4.237583408E-6	33.976651038E-6	5.497384438E+3	-205.629751904E+0	48.608594830E+3	5.471626492E+0	4.237583407E+0	33.976651036E+0	11.524400000E+0
2.305515741E+3	5.200038672E+0	1.000000000E-6	5.341575428E-3	-203.197115767E-6	47.224134333E-3	5.352369732E-6	4.930933232E-6	29.969082313E-6	5.341575428E+3	-203.197115754E+0	47.224134330E+3	5.352369732E+0	4.930933232E+0	29.969082312E+0	12.081800000E+0
2.350628981E+3	5.300028125E+0	1.000000000E-6	5.198112413E-3	-199.171450250E-6	45.870017500E-3	5.392188020E-6	3.794622240E-6	28.835736395E-6	5.198112412E+3	-199.171450238E+0	45.870017497E+3	5.392188019E+0	3.794622240E+0	28.835736393E+0	12.680500000E+0
2.395734172E+3	5.400036328E+0	1.000000000E-6	5.049941944E-3	-199.749046383E-6	44.530659667E-3	5.578409412E-6	3.789106690E-6	28.186170470E-6	5.049941944E+3	-199.749046371E+0	44.530659664E+3	5.578409412E+0	3.789106690E+0	28.186170468E+0	13.316000000E+0
2.440829443E+3	5.500040625E+0	1.000000000E-6	4.903589638E-3	-195.714520867E-6	43.188238000E-3	5.526438169E-6	5.608639608E-6	26.091956122E-6	4.903589638E+3	-195.714520855E+0	43.188237997E+3	5.526438168E+0	5.608639608E+0	26.091956120E+0	14.016900000E+0
2.486030590E+3	5.600034766E+0	1.000000000E-6	4.758044222E-3	-191.621296867E-6	41.844902167E-3	5.447128290E-6	5.011550557E-6	31.884327150E-6	4.758044222E+3	-191.621296855E+0	41.844902164E+3	5.447128289E+0	5.011550557E+0	31.884327148E+0	14.782100000E+0
2.531174716E+3	5.700033984E+0	1.000000000E-6	4.613953324E-3	-189.982521250E-6	40.521548333E-3	3.338186728E-6	3.955091102E-6	28.381611827E-6	4.613953324E+3	-189.982521238E+0	40.521548331E+3	3.338186728E+0	3.955091101E+0	28.381611825E+0	15.586900000E+0
2.576283931E+3	5.800036328E+0	1.000000000E-6	4.472027995E-3	-187.519186717E-6	39.217436000E-3	4.905532365E-6	3.964017820E-6	28.531563043E-6	4.472027995E+3	-187.519186705E+0	39.217435998E+3	4.905532365E+0	3.964017820E+0	28.531563041E+0	16.474900000E+0
2.621410249E+3	5.900043359E+0	1.000000000E-6	4.346805409E-3	-184.570765233E-6	38.034552333E-3	4.454341709E-6	4.952755206E-6	21.543662118E-6	4.346805409E+3	-184.570765222E+0	38.034552331E+3	4.454341709E+0	4.952755206E+0	21.543662117E+0	17.319400000E+0
