[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201201 17:53:20"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 10.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
311.142426491E+0	-5.099999905E+0	-1.528777967E-6	121.092578813E-12	3.335997781E+6	264.240185979E+0	-1.298350574E+0	-635.853790533E-3	347.050456319E-6	174.419682507E-6	849.273473307E+3	415.922916471E+3	227.011681150E+0	114.090918570E+0	400.002300000E+0
317.636733532E+0	-5.000000000E+0	-1.498088933E-6	150.090761813E-12	3.337585566E+6	334.386530080E+0	-1.271974753E+0	-623.113813167E-3	406.672980271E-6	240.386231063E-6	849.064914882E+3	415.939133720E+3	271.461173781E+0	160.461922997E+0	400.002300000E+0
323.957668781E+0	-4.900000095E+0	-1.466645700E-6	214.191849228E-12	3.340956916E+6	487.919979667E+0	-1.245398820E+0	-609.798712567E-3	324.003743369E-6	215.190017466E-6	849.147698043E+3	415.777793210E+3	220.914801284E+0	146.722563920E+0	400.002300000E+0
330.287560940E+0	-4.800000191E+0	-1.435183200E-6	174.684424823E-12	3.344520888E+6	407.080927130E+0	-1.219028014E+0	-596.567996967E-3	341.354426019E-6	221.950498421E-6	849.388436264E+3	415.673759954E+3	237.847283900E+0	154.649593460E+0	400.002300000E+0
336.617135048E+0	-4.699999809E+0	-1.403283367E-6	150.016661910E-12	3.349287764E+6	358.052394870E+0	-1.192292992E+0	-583.606349033E-3	337.564492246E-6	215.487543214E-6	849.645211120E+3	415.886315548E+3	240.553333891E+0	153.559536393E+0	400.002300000E+0
342.953705311E+0	-4.599999905E+0	-1.372081733E-6	197.224698274E-12	3.352569889E+6	481.902476191E+0	-1.166220319E+0	-570.558498533E-3	398.910809099E-6	256.418769533E-6	849.964175361E+3	415.834191705E+3	290.733998863E+0	186.883013820E+0	400.002300000E+0
349.282248497E+0	-4.500000000E+0	-1.340092400E-6	120.920207375E-12	3.357977405E+6	302.999497790E+0	-1.139100658E+0	-557.281244833E-3	361.114398667E-6	228.958018325E-6	850.016505081E+3	415.852850769E+3	269.469775866E+0	170.852411614E+0	400.002300000E+0
355.616012573E+0	-4.400000095E+0	-1.308573333E-6	122.992103288E-12	3.362440593E+6	316.033981606E+0	-1.112737470E+0	-544.141187867E-3	349.641452718E-6	214.082531562E-6	850.343990656E+3	415.827813395E+3	267.192860966E+0	163.599949738E+0	400.002300000E+0
361.947631836E+0	-4.300000191E+0	-1.276882833E-6	166.653281072E-12	3.367576162E+6	439.521624024E+0	-1.086052188E+0	-531.111004400E-3	310.132978721E-6	223.199960529E-6	850.549604068E+3	415.943413550E+3	242.882879012E+0	174.800658841E+0	400.002300000E+0
368.280346870E+0	-4.199999809E+0	-1.245571500E-6	110.157489141E-12	3.371945978E+6	298.212589492E+0	-1.059674317E+0	-518.049798500E-3	335.734136616E-6	214.616231445E-6	850.753503378E+3	415.913336569E+3	269.542243553E+0	172.303421719E+0	400.002300000E+0
374.599930286E+0	-4.099999905E+0	-1.214260700E-6	112.723081503E-12	3.376540066E+6	313.453281576E+0	-1.033341975E+0	-505.093386233E-3	363.235855455E-6	250.400686135E-6	851.005039253E+3	415.967828188E+3	299.141572691E+0	206.216577820E+0	400.003100000E+0
381.114759922E+0	-4.000000000E+0	-1.183023300E-6	126.994474493E-12	3.381167556E+6	362.959543529E+0	-1.006759101E+0	-492.009041400E-3	386.643783780E-6	189.563768127E-6	851.005302544E+3	415.891252015E+3	326.826854366E+0	160.236715648E+0	400.003100000E+0
387.456106186E+0	-3.900000095E+0	-1.151975667E-6	114.408624384E-12	3.385488260E+6	336.230239845E+0	-980.309935233E-3	-479.050665267E-3	336.622644824E-6	206.349794281E-6	850.981460459E+3	415.851375275E+3	292.213329296E+0	179.126868954E+0	400.003100000E+0
