[Main]
Experiment = "IvsV"
Header length = 32    
Date = "20201102 16:21:36"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 100.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-9
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
417.829683304E+0	4.000000000E+0	536.223660000E-12	19.982782831E-12	7.459573865E+9	277.986697865E+6
420.815577507E+0	4.099999905E+0	559.393110000E-12	18.111022139E-12	7.329371477E+9	237.297182799E+6
423.795638561E+0	4.199999809E+0	570.805513333E-12	18.221978115E-12	7.358022498E+9	234.892133669E+6
426.780951023E+0	4.300000191E+0	578.763470000E-12	19.924694940E-12	7.429633026E+9	255.774904997E+6
429.760732651E+0	4.400000095E+0	596.134833333E-12	20.225028169E-12	7.380880716E+9	250.410665582E+6
432.741888523E+0	4.500000000E+0	611.446063333E-12	17.192237683E-12	7.359602539E+9	206.932456825E+6
435.715480804E+0	4.599999905E+0	614.184476667E-12	13.656338194E-12	7.489606266E+9	166.530741144E+6
438.699180126E+0	4.699999809E+0	639.562650000E-12	19.017346185E-12	7.348771554E+9	218.515156681E+6
441.688184738E+0	4.800000191E+0	645.696816667E-12	21.209637277E-12	7.433829728E+9	244.184000964E+6
444.669814587E+0	4.900000095E+0	669.033636667E-12	14.345560369E-12	7.323996623E+9	157.042680570E+6
447.653999805E+0	5.000000000E+0	668.605000000E-12	16.233004698E-12	7.478256968E+9	181.563973487E+6
450.631556034E+0	5.099999905E+0	692.490526667E-12	14.647407447E-12	7.364721550E+9	155.776971840E+6
453.610834122E+0	5.199999809E+0	701.650506667E-12	17.011351440E-12	7.411096778E+9	179.680297598E+6
456.589851856E+0	5.300000191E+0	715.337020000E-12	17.220426082E-12	7.409095353E+9	178.360374612E+6
459.575064659E+0	5.400000095E+0	722.966246667E-12	18.232418622E-12	7.469228502E+9	188.365779808E+6
462.560205460E+0	5.500000000E+0	738.826570000E-12	16.611672485E-12	7.444236880E+9	167.375172967E+6
465.540734291E+0	5.599999905E+0	741.255786667E-12	12.921049566E-12	7.554746965E+9	131.689036023E+6
468.520775795E+0	5.699999809E+0	763.109446667E-12	19.388773582E-12	7.469439455E+9	189.780471214E+6
471.514042377E+0	5.800000191E+0	782.034306667E-12	17.919423322E-12	7.416554672E+9	169.941883146E+6
474.499372959E+0	5.900000095E+0	786.542206667E-12	18.134843583E-12	7.501186898E+9	172.950478599E+6
477.482048035E+0	6.000000000E+0	812.790823333E-12	14.607381269E-12	7.381973108E+9	132.667954173E+6
480.462428570E+0	6.099999905E+0	823.828283333E-12	16.152166363E-12	7.404455550E+9	145.173454579E+6
483.442259789E+0	6.199999809E+0	835.334700000E-12	13.365453827E-12	7.422174380E+9	118.755666414E+6
486.434042931E+0	6.300000191E+0	843.626046667E-12	17.865482500E-12	7.467763964E+9	158.144958834E+6
489.417410374E+0	6.400000095E+0	853.790963333E-12	17.721206004E-12	7.495980129E+9	155.585867935E+6
492.400538445E+0	6.500000000E+0	871.055790000E-12	21.667742165E-12	7.462208592E+9	185.624403859E+6
495.387188911E+0	6.599999905E+0	876.570043333E-12	20.181302346E-12	7.529346861E+9	173.348412529E+6
498.371255875E+0	6.699999809E+0	901.419353333E-12	18.786724298E-12	7.432722389E+9	154.907375556E+6
501.350521564E+0	6.800000191E+0	902.450753333E-12	19.237145027E-12	7.535037414E+9	160.621072099E+6
504.327260017E+0	6.900000095E+0	922.097026667E-12	25.316801453E-12	7.482943655E+9	205.449311006E+6
507.316114426E+0	7.000000000E+0	927.564303333E-12	22.213022160E-12	7.546646604E+9	180.724751539E+6
510.294355392E+0	7.099999905E+0	955.181653333E-12	17.268129859E-12	7.433140995E+9	134.379092714E+6
513.275295734E+0	7.199999809E+0	958.275600000E-12	21.396405125E-12	7.513495918E+9	167.761552707E+6
516.256747723E+0	7.300000191E+0	969.073390000E-12	19.452411177E-12	7.532969397E+9	151.210857314E+6
519.244274139E+0	7.400000095E+0	988.673820000E-12	20.272662420E-12	7.484773993E+9	153.474577135E+6
522.225155354E+0	7.500000000E+0	1.005688390E-9	16.540755748E-12	7.457578386E+9	122.656265873E+6
525.207543373E+0	7.599999905E+0	1.009691643E-9	23.304818976E-12	7.527050417E+9	173.732791135E+6
528.184814930E+0	7.699999809E+0	1.028005033E-9	21.855011301E-12	7.490235514E+9	159.239669551E+6
531.169890404E+0	7.800000191E+0	1.033568567E-9	20.520414424E-12	7.546669319E+9	149.831164501E+6
534.147538185E+0	7.900000095E+0	1.039770467E-9	13.851143572E-12	7.597830818E+9	101.213343591E+6
537.136163235E+0	8.000000000E+0	1.064144800E-9	15.381296224E-12	7.517773897E+9	108.662944420E+6
540.114828110E+0	8.100000381E+0	1.084619767E-9	14.008769504E-12	7.468055286E+9	96.456166811E+6
543.096301556E+0	8.199999809E+0	1.082466233E-9	17.092254045E-12	7.575293858E+9	119.614675361E+6
546.080775261E+0	8.300000191E+0	1.110371500E-9	16.747520139E-12	7.474975889E+9	112.743626117E+6
549.061818123E+0	8.399999619E+0	1.110802633E-9	19.527573415E-12	7.562099122E+9	132.939409172E+6
552.055644035E+0	8.500000000E+0	1.129216700E-9	23.253115566E-12	7.527341741E+9	155.004922791E+6
555.036105633E+0	8.600000381E+0	1.140447567E-9	25.138265660E-12	7.540899409E+9	166.219945747E+6
558.020818233E+0	8.699999809E+0	1.146720233E-9	23.162566234E-12	7.586854715E+9	153.246641803E+6
561.007987022E+0	8.800000191E+0	1.159129700E-9	20.096724019E-12	7.591902952E+9	131.626666451E+6
563.993803978E+0	8.899999619E+0	1.182780633E-9	21.622362971E-12	7.524640975E+9	137.557644936E+6
566.973815918E+0	9.000000000E+0	1.194867367E-9	27.683965554E-12	7.532216756E+9	174.514456605E+6
569.953375816E+0	9.100000381E+0	1.199416067E-9	22.968339342E-12	7.587025582E+9	145.288514146E+6
572.941997528E+0	9.199999809E+0	1.211007300E-9	19.513759888E-12	7.596981298E+9	122.415173645E+6
575.927154541E+0	9.300000191E+0	1.239269833E-9	19.607306052E-12	7.504419087E+9	118.732367898E+6
578.910299778E+0	9.399999619E+0	1.232213933E-9	15.634748673E-12	7.628545145E+9	96.793570380E+6
581.893261433E+0	9.500000000E+0	1.263981500E-9	15.975754308E-12	7.515932789E+9	94.995611585E+6
584.880084991E+0	9.600000381E+0	1.262705567E-9	22.591223950E-12	7.602722784E+9	136.021268602E+6
587.858700752E+0	9.699999809E+0	1.273829767E-9	19.272423119E-12	7.614832110E+9	115.208696040E+6
590.840958595E+0	9.800000191E+0	1.295262867E-9	16.876798380E-12	7.566031917E+9	98.582610909E+6
593.826802254E+0	9.899999619E+0	1.307544133E-9	21.549534412E-12	7.571445863E+9	124.784417599E+6
596.813113689E+0	10.000000000E+0	1.309147333E-9	15.377533676E-12	7.638559653E+9	89.724208503E+6
