[Main]
Experiment = "VvsI"
Header length = 59    
Date = "20181213 13:44:14"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Dynamic Temperature]
Initial temperature (K) = 3.000000E+2
Final temperature (K) = 2.000000E+0
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = FALSE
GPIB = "21"
Range (V) = 5.000000E+0
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = 1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 5.000000
Auto-range = FALSE
Manual range (A) = 0.000001
Check output compliance = TRUE
Inital delay (s) = 0.000000
Time (s)	Temperature (K)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	Magnetic Field (T)
9.578826797E+3	68.062100000E+0	1.000000000E-6	1.601240189E-3	154.298215000E-3	664.732309804E-9	191.134226441E-6	1.601240189E+3	154.298214990E+3	664.732309762E-3	191.134226429E+0	-4.353326932E-6
9.621867054E+3	67.056600000E+0	1.000000000E-6	1.621516566E-3	156.582696667E-3	425.208484699E-9	246.247122114E-6	1.621516566E+3	156.582696657E+3	425.208484672E-3	246.247122099E+0	-4.353326932E-6
9.667609311E+3	66.058000000E+0	1.000000000E-6	1.641764506E-3	158.704336667E-3	570.954252711E-9	232.659485283E-6	1.641764506E+3	158.704336657E+3	570.954252675E-3	232.659485268E+0	-4.353326932E-6
9.714104851E+3	65.076100000E+0	1.000000000E-6	1.663969092E-3	160.721776667E-3	507.692413427E-9	347.279575505E-6	1.663969092E+3	160.721776657E+3	507.692413396E-3	347.279575484E+0	-4.353326932E-6
9.761628682E+3	64.104800000E+0	1.000000000E-6	1.681397458E-3	162.908653333E-3	613.492345965E-9	433.760593564E-6	1.681397458E+3	162.908653323E+3	613.492345927E-3	433.760593537E+0	-4.353326932E-6
9.808075647E+3	63.113200000E+0	1.000000000E-6	1.706306977E-3	165.741930000E-3	487.901223967E-9	705.971319775E-6	1.706306977E+3	165.741929990E+3	487.901223936E-3	705.971319731E+0	-4.353326932E-6
9.854538959E+3	62.065200000E+0	1.000000000E-6	1.731703670E-3	168.856485000E-3	587.086577224E-9	1.134551015E-3	1.731703670E+3	168.856484990E+3	587.086577188E-3	1.134551015E+3	-4.353326932E-6
9.903705574E+3	61.041900000E+0	1.000000000E-6	1.763334669E-3	171.863431667E-3	405.917414939E-9	1.602196550E-3	1.763334669E+3	171.863431656E+3	405.917414914E-3	1.602196550E+3	-4.353326932E-6
9.955274265E+3	60.048600000E+0	1.000000000E-6	1.754165369E-3	174.906376667E-3	508.227474989E-9	2.015399520E-3	1.754165368E+3	174.906376656E+3	508.227474958E-3	2.015399520E+3	-4.353326932E-6
10.009126317E+3	59.103700000E+0	1.000000000E-6	1.790235449E-3	176.917586667E-3	449.536306057E-9	2.380577281E-3	1.790235449E+3	176.917586656E+3	449.536306029E-3	2.380577281E+3	-4.353326932E-6
10.065411494E+3	58.106800000E+0	1.000000000E-6	1.837019664E-3	179.057868333E-3	727.705652453E-9	3.005196658E-3	1.837019664E+3	179.057868322E+3	727.705652407E-3	3.005196658E+3	-4.353326932E-6
10.120136278E+3	57.102400000E+0	1.000000000E-6	1.865651805E-3	181.523296667E-3	469.320994326E-9	3.430926115E-3	1.865651804E+3	181.523296655E+3	469.320994297E-3	3.430926114E+3	-4.353326932E-6
10.170760341E+3	56.073500000E+0	1.000000000E-6	1.895415622E-3	185.593528333E-3	840.465736916E-9	3.299837712E-3	1.895415622E+3	185.593528322E+3	840.465736864E-3	3.299837712E+3	-4.353326932E-6
10.227119948E+3	55.080000000E+0	1.000000000E-6	1.922253559E-3	189.463501667E-3	561.538383230E-9	3.149911545E-3	1.922253558E+3	189.463501655E+3	561.538383195E-3	3.149911545E+3	-4.353326932E-6
10.287824852E+3	54.084900000E+0	1.000000000E-6	1.892142801E-3	192.209896667E-3	676.243007408E-9	4.405708406E-3	1.892142801E+3	192.209896655E+3	676.243007366E-3	4.405708405E+3	-4.353326932E-6
10.344706736E+3	53.033000000E+0	1.000000000E-6	1.916364200E-3	196.534310000E-3	638.032380898E-9	5.431196542E-3	1.916364200E+3	196.534309988E+3	638.032380858E-3	5.431196542E+3	-4.353326932E-6
10.404213403E+3	52.121600000E+0	1.000000000E-6	2.009276048E-3	197.588340000E-3	422.920303992E-9	6.156889934E-3	2.009276048E+3	197.588339988E+3	422.920303965E-3	6.156889934E+3	-4.353326932E-6
10.452938385E+3	51.093500000E+0	1.000000000E-6	2.037553875E-3	205.415985000E-3	940.601826945E-9	448.511291481E-6	2.037553875E+3	205.415984987E+3	940.601826886E-3	448.511291453E+0	-4.353326932E-6
10.493342372E+3	50.052300000E+0	1.000000000E-6	2.060947680E-3	212.097223333E-3	907.791982232E-9	1.044614728E-3	2.060947679E+3	212.097223320E+3	907.791982176E-3	1.044614728E+3	-4.353326932E-6
10.533854236E+3	49.090300000E+0	1.000000000E-6	2.093112540E-3	227.237468333E-3	910.877045847E-9	277.240456424E-6	2.093112540E+3	227.237468319E+3	910.877045790E-3	277.240456407E+0	-4.353326932E-6
10.575400671E+3	48.084400000E+0	1.000000000E-6	2.125129546E-3	234.230481667E-3	1.027166476E-6	322.242687816E-6	2.125129545E+3	234.230481652E+3	1.027166476E+0	322.242687795E+0	-4.353326932E-6
10.617976953E+3	47.070800000E+0	1.000000000E-6	2.160881551E-3	236.202171667E-3	963.554286570E-9	324.564636444E-6	2.160881551E+3	236.202171652E+3	963.554286511E-3	324.564636424E+0	-4.353326932E-6
10.658345515E+3	46.098100000E+0	1.000000000E-6	2.195975817E-3	242.146980000E-3	819.249456867E-9	199.153579910E-6	2.195975817E+3	242.146979985E+3	819.249456816E-3	199.153579897E+0	-4.353326932E-6
10.700174292E+3	45.063900000E+0	1.000000000E-6	2.233241975E-3	246.849801667E-3	1.057258906E-6	242.367007850E-6	2.233241975E+3	246.849801651E+3	1.057258906E+0	242.367007835E+0	-4.353326932E-6
10.740477866E+3	44.058300000E+0	1.000000000E-6	2.269614269E-3	249.979375000E-3	1.209446998E-6	268.515696859E-6	2.269614269E+3	249.979374984E+3	1.209446998E+0	268.515696842E+0	-4.353326932E-6
10.782064954E+3	43.035000000E+0	1.000000000E-6	2.309101465E-3	255.507066667E-3	944.826572394E-9	728.102214957E-6	2.309101465E+3	255.507066651E+3	944.826572335E-3	728.102214912E+0	-4.353326932E-6
10.824608995E+3	42.073900000E+0	1.000000000E-6	2.347564020E-3	258.504750000E-3	767.782060595E-9	213.731671070E-6	2.347564020E+3	258.504749984E+3	767.782060547E-3	213.731671057E+0	-4.353326932E-6
10.867304009E+3	41.077400000E+0	1.000000000E-6	2.390388319E-3	263.215990000E-3	1.047253356E-6	174.926213738E-6	2.390388319E+3	263.215989984E+3	1.047253356E+0	174.926213728E+0	-4.353326932E-6
10.908822371E+3	40.070300000E+0	1.000000000E-6	2.433166626E-3	267.820080000E-3	1.092320039E-6	242.135122816E-6	2.433166626E+3	267.820079983E+3	1.092320039E+0	242.135122801E+0	-4.353326932E-6
10.948300197E+3	39.051300000E+0	1.000000000E-6	2.477749677E-3	272.841913333E-3	1.004166529E-6	249.888981925E-6	2.477749677E+3	272.841913316E+3	1.004166529E+0	249.888981909E+0	-4.353326932E-6
10.989820503E+3	38.042900000E+0	1.000000000E-6	2.523211342E-3	276.139138333E-3	1.340831930E-6	144.942994779E-6	2.523211342E+3	276.139138316E+3	1.340831930E+0	144.942994770E+0	-4.353326932E-6
11.029051866E+3	37.059800000E+0	1.000000000E-6	2.568363724E-3	280.539166667E-3	1.421148258E-6	220.407700546E-6	2.568363724E+3	280.539166649E+3	1.421148258E+0	220.407700532E+0	-4.353326932E-6
11.070554107E+3	36.059800000E+0	1.000000000E-6	2.617094074E-3	285.474001667E-3	1.101330090E-6	252.089485503E-6	2.617094074E+3	285.474001649E+3	1.101330090E+0	252.089485487E+0	-4.353326932E-6
11.110925444E+3	35.077800000E+0	1.000000000E-6	2.664422134E-3	290.952161667E-3	1.495041015E-6	310.169204860E-6	2.664422134E+3	290.952161649E+3	1.495041015E+0	310.169204841E+0	-4.353326932E-6
11.151500546E+3	34.076300000E+0	1.000000000E-6	2.716149664E-3	294.461241667E-3	1.618157794E-6	228.254303758E-6	2.716149663E+3	294.461241648E+3	1.618157793E+0	228.254303744E+0	-4.353326932E-6
11.189751698E+3	33.106800000E+0	1.000000000E-6	2.765679776E-3	298.946573333E-3	1.026862300E-6	153.784845748E-6	2.765679776E+3	298.946573315E+3	1.026862300E+0	153.784845738E+0	-4.353326932E-6
11.231214579E+3	32.040000000E+0	1.000000000E-6	2.824025614E-3	304.914143333E-3	1.343960074E-6	325.799189862E-6	2.824025614E+3	304.914143314E+3	1.343960074E+0	325.799189842E+0	-4.353326932E-6
11.271564449E+3	31.067800000E+0	1.000000000E-6	2.878226098E-3	309.729213333E-3	1.067863225E-6	339.916653206E-6	2.878226097E+3	309.729213314E+3	1.067863225E+0	339.916653184E+0	-4.353326932E-6
11.312287522E+3	30.046200000E+0	1.000000000E-6	2.935310020E-3	316.209715000E-3	1.626230997E-6	231.158586878E-6	2.935310020E+3	316.209714980E+3	1.626230997E+0	231.158586863E+0	-4.353326932E-6
11.353925081E+3	29.076400000E+0	1.000000000E-6	2.994476825E-3	321.985946667E-3	1.061992726E-6	227.680527590E-6	2.994476825E+3	321.985946647E+3	1.061992726E+0	227.680527576E+0	-4.353326932E-6
11.395518901E+3	28.037500000E+0	1.000000000E-6	3.059084060E-3	328.054345000E-3	1.199246927E-6	234.229385383E-6	3.059084060E+3	328.054344980E+3	1.199246927E+0	234.229385369E+0	-4.353326932E-6
11.435893664E+3	27.069700000E+0	1.000000000E-6	3.121933751E-3	334.313050000E-3	1.311472653E-6	278.987091161E-6	3.121933751E+3	334.313049979E+3	1.311472653E+0	278.987091144E+0	-4.353326932E-6
11.477381191E+3	26.016800000E+0	1.000000000E-6	3.191669237E-3	340.384028333E-3	958.252915444E-9	288.598529262E-6	3.191669237E+3	340.384028312E+3	958.252915384E-3	288.598529244E+0	-4.353326932E-6
11.518781149E+3	25.068600000E+0	1.000000000E-6	3.261761815E-3	346.782175000E-3	1.448427049E-6	183.627181426E-6	3.261761814E+3	346.782174978E+3	1.448427049E+0	183.627181415E+0	-4.353326932E-6
11.559107636E+3	24.075700000E+0	1.000000000E-6	3.334867762E-3	353.789390000E-3	1.352526672E-6	353.311494554E-6	3.334867762E+3	353.789389978E+3	1.352526672E+0	353.311494532E+0	-4.353326932E-6
11.599375057E+3	23.087000000E+0	1.000000000E-6	3.413006782E-3	361.070406667E-3	1.863287676E-6	275.027318058E-6	3.413006782E+3	361.070406644E+3	1.863287676E+0	275.027318041E+0	-4.353326932E-6
11.639611360E+3	22.108400000E+0	1.000000000E-6	3.493546385E-3	368.174690000E-3	1.280506106E-6	379.419848335E-6	3.493546384E+3	368.174689977E+3	1.280506105E+0	379.419848311E+0	-4.353326932E-6
11.679676431E+3	21.095900000E+0	1.000000000E-6	3.580941132E-3	375.309486667E-3	2.303718250E-6	323.070295472E-6	3.580941132E+3	375.309486643E+3	2.303718250E+0	323.070295451E+0	-4.353326932E-6
11.721116922E+3	20.057800000E+0	1.000000000E-6	3.676564588E-3	384.059288333E-3	1.677670916E-6	303.704239843E-6	3.676564587E+3	384.059288309E+3	1.677670916E+0	303.704239825E+0	-4.353326932E-6
11.762444261E+3	19.085300000E+0	1.000000000E-6	3.776391336E-3	392.587428333E-3	1.969520930E-6	337.645834325E-6	3.776391335E+3	392.587428309E+3	1.969520930E+0	337.645834304E+0	-4.353326932E-6
11.803768435E+3	18.079500000E+0	1.000000000E-6	3.884721205E-3	401.084280000E-3	1.787741002E-6	352.445389264E-6	3.884721204E+3	401.084279975E+3	1.787741002E+0	352.445389243E+0	-4.353326932E-6
11.844986972E+3	17.093700000E+0	1.000000000E-6	3.999773419E-3	410.118991667E-3	2.391851671E-6	358.066165417E-6	3.999773419E+3	410.118991641E+3	2.391851671E+0	358.066165394E+0	-4.353326932E-6
11.886317499E+3	16.068200000E+0	1.000000000E-6	4.126881594E-3	419.782028333E-3	2.138476257E-6	312.838273833E-6	4.126881594E+3	419.782028307E+3	2.138476257E+0	312.838273813E+0	-4.353326932E-6
11.928770162E+3	15.033100000E+0	1.000000000E-6	4.267718188E-3	430.550691667E-3	1.855828080E-6	334.334330106E-6	4.267718188E+3	430.550691640E+3	1.855828080E+0	334.334330085E+0	-4.353326932E-6
11.971152885E+3	14.081600000E+0	1.000000000E-6	4.444896192E-3	443.222866667E-3	5.812209847E-6	610.764282635E-6	4.444896192E+3	443.222866639E+3	5.812209847E+0	610.764282597E+0	-4.353326932E-6
12.012550435E+3	13.083700000E+0	1.000000000E-6	4.589781428E-3	454.109471667E-3	2.832070042E-6	1.009762611E-3	4.589781428E+3	454.109471638E+3	2.832070042E+0	1.009762611E+3	-4.353326932E-6
12.055165412E+3	12.076000000E+0	1.000000000E-6	4.787277470E-3	467.595591667E-3	3.084004473E-6	349.170777190E-6	4.787277470E+3	467.595591638E+3	3.084004473E+0	349.170777169E+0	-4.353326932E-6
12.098192473E+3	11.072000000E+0	1.000000000E-6	5.006036170E-3	482.221796667E-3	8.941692468E-6	442.936877213E-6	5.006036170E+3	482.221796637E+3	8.941692467E+0	442.936877186E+0	-4.353326932E-6
12.149319414E+3	10.062700000E+0	1.000000000E-6	5.263811077E-3	498.152251667E-3	6.073894085E-6	430.175164496E-6	5.263811077E+3	498.152251636E+3	6.073894085E+0	430.175164470E+0	-4.353326932E-6
12.200269987E+3	9.078100000E+0	1.000000000E-6	5.570069609E-3	515.133788333E-3	7.698294333E-6	356.539787095E-6	5.570069608E+3	515.133788301E+3	7.698294333E+0	356.539787073E+0	-4.353326932E-6
12.252229491E+3	8.083000000E+0	1.000000000E-6	5.962791310E-3	534.247741667E-3	28.157062355E-6	615.013003741E-6	5.962791309E+3	534.247741633E+3	28.157062353E+0	615.013003702E+0	-4.353326932E-6
12.305340638E+3	7.054900000E+0	1.000000000E-6	6.406870561E-3	552.981406667E-3	16.698445881E-6	455.693801486E-6	6.406870560E+3	552.981406632E+3	16.698445880E+0	455.693801458E+0	-4.353326932E-6
12.407641925E+3	6.078200000E+0	1.000000000E-6	7.015311064E-3	574.150801667E-3	7.327991804E-6	551.142299094E-6	7.015311064E+3	574.150801631E+3	7.327991803E+0	551.142299060E+0	-4.353326932E-6
12.477937041E+3	5.082100000E+0	1.000000000E-6	7.793758113E-3	596.262018333E-3	7.628866153E-6	516.707194892E-6	7.793758112E+3	596.262018296E+3	7.628866153E+0	516.707194860E+0	-4.353326932E-6
12.547592142E+3	4.112600000E+0	1.000000000E-6	8.915280371E-3	620.201688333E-3	15.106368552E-6	584.772759686E-6	8.915280370E+3	620.201688295E+3	15.106368551E+0	584.772759650E+0	-4.353326932E-6
12.616104967E+3	3.134500000E+0	1.000000000E-6	10.601471143E-3	646.328003333E-3	12.267767723E-6	434.162652370E-6	10.601471143E+3	646.328003293E+3	12.267767722E+0	434.162652343E+0	-4.353326932E-6
12.693855940E+3	2.162700000E+0	1.000000000E-6	13.509241353E-3	674.273936667E-3	37.371135342E-6	483.608292571E-6	13.509241352E+3	674.273936625E+3	37.371135340E+0	483.608292541E+0	-4.353326932E-6
