[Main]
Experiment = ""
Header length = 58    
Date = "20181213 18:12:55"
Comments = "SD: 3I- to 2I+; voltage1: 1V+ to 1I-"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Magnetic Field]
Set initial magnetic field = FALSE
Set finish magnetic field = FALSE

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Static Voltage 0]
Voltage meter = "Keithley 2182A"
Auto-range = TRUE
GPIB = "07"
Range (V) = 1.000000E-3
Speed = 1.000000

[Static Voltage 1]
Voltage meter = "Keithley 6430"
Auto-range = TRUE
GPIB = "21"
Range (V) = 2.000000E+1
Speed = 1.000000

[Dynamic Current]
Operating mode = "Linear+Reveresed"
Current source = "Keithley 6430"
GPIB = "21"
Initial current (A) = -1.000000E-6
Final current (A) = 1.000000E-6
Current step (A) = 1.000000E-8
Number of measurement sequences = 1.000000E+0
Samples/sequence = 3.000000E+1
Pre-measuement delay (s) = 1.000000E+0
Output limit (V) = 20.000000
Auto-range = TRUE
Manual range (A) = 0.000010
Check output compliance = TRUE
Inital delay (s) = 1.000000
Time (s)	Current (A)	Voltage 1 (V)	Voltage 2 (V)	STD_Voltage 1 (V)	STD_Voltage 2 (V)	Resistance 1 (Ohms)	Resistance 2 (Ohms)	STD_Resistance 1 (Ohms)	STD_Resistance 2 (Ohms)	dI/dV 1 (A/V)	dI/dV 2 (A/V)	Magnetic Field (T)	Temperature (K)
454.777876854E+0	-380.000000000E-9	-5.459329553E-3	-396.889403333E-3	7.150662826E-6	133.296986238E-6	14.366656719E+3	1.044445798E+6	18.817533753E+0	350.781542733E+0	72.727112287E-6	1.379644631E-6	-4.353326932E-6	2.000400000E+0
463.706799030E+0	-370.000000000E-9	-5.325738019E-3	-389.598000000E-3	8.418379181E-6	130.726215612E-6	14.393886538E+3	1.052967568E+6	22.752376164E+0	353.314096249E+0	74.855042648E-6	1.371478101E-6	-4.353326932E-6	1.999600000E+0
472.659627914E+0	-360.000000000E-9	-5.191056809E-3	-381.507633333E-3	8.891797126E-6	155.048157888E-6	14.419602247E+3	1.059743426E+6	24.699436461E+0	430.689327466E+0	74.249407174E-6	1.236037922E-6	-4.353326932E-6	2.000300000E+0
481.605778217E+0	-350.000000000E-9	-5.057778939E-3	-373.216960000E-3	7.460159372E-6	174.172891909E-6	14.450796969E+3	1.066334171E+6	21.314741062E+0	497.636834025E+0	75.031211108E-6	1.206174649E-6	-4.353326932E-6	2.000300000E+0
490.535577774E+0	-340.000000000E-9	-4.926909953E-3	-364.059830000E-3	6.421223316E-6	194.874651401E-6	14.490911625E+3	1.070764206E+6	18.885950928E+0	573.160739414E+0	76.412298132E-6	1.092045215E-6	-4.353326932E-6	1.999700000E+0
499.469280243E+0	-330.000000000E-9	-4.792679652E-3	-354.750820000E-3	6.713131011E-6	195.057032155E-6	14.523271674E+3	1.075002485E+6	20.342821244E+0	591.081915621E+0	74.498827576E-6	1.074228087E-6	-4.353326932E-6	1.999800000E+0
508.475084782E+0	-320.000000000E-9	-4.657218864E-3	-344.535196667E-3	5.219985924E-6	209.097951776E-6	14.553808949E+3	1.076672490E+6	16.312456014E+0	653.431099299E+0	73.822100834E-6	978.892787420E-9	-4.353326932E-6	2.000000000E+0
517.389236927E+0	-310.000000000E-9	-4.527240205E-3	-334.029606667E-3	5.745114563E-6	125.156643736E-6	14.604000660E+3	1.077514860E+6	18.532627624E+0	403.731108826E+0	76.935706807E-6	951.874192692E-9	-4.353326932E-6	1.999700000E+0
526.312863827E+0	-300.000000000E-9	-4.402501128E-3	-323.599343333E-3	6.862944979E-6	194.607923579E-6	14.675003760E+3	1.078664478E+6	22.876483263E+0	648.693078595E+0	80.167340237E-6	958.748564673E-9	-4.353326932E-6	1.999800000E+0
535.271681786E+0	-290.000000000E-9	-4.271491510E-3	-312.553200000E-3	6.070876692E-6	129.996336818E-6	14.729281069E+3	1.077769655E+6	20.934057560E+0	448.263230408E+0	76.330273706E-6	905.293340692E-9	-4.353326932E-6	1.999600000E+0
