[Main]
Experiment = "Rvst"
Header length = 36    
Date = "20200210 09:36:47"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Time Sweep ]
Interval = 5.000000E+0
Duration = 3.600000E+3

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 1.000000E-3
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)
1.838092659E+3	100.000001490E-3	975.585722190E-12	7.115190185E-12	102.502526652E+6	747.576512192E+3
1.858093109E+3	100.000001490E-3	965.429343560E-12	19.990139923E-12	103.580859808E+6	2.144740985E+6
1.878092354E+3	100.000001490E-3	946.100345867E-12	16.898577409E-12	105.697035126E+6	1.887885929E+6
1.898093133E+3	100.000001490E-3	972.569728713E-12	7.585827631E-12	102.820392757E+6	801.976201190E+3
1.918093590E+3	100.000001490E-3	974.388047545E-12	8.635559412E-12	102.628518219E+6	909.550018302E+3
1.938092389E+3	100.000001490E-3	974.258199907E-12	13.280542555E-12	102.642196391E+6	1.399160979E+6
1.958092298E+3	100.000001490E-3	972.788559133E-12	13.257804392E-12	102.797263137E+6	1.400988934E+6
1.978092853E+3	100.000001490E-3	1.000470830E-9	26.205451962E-12	99.952940656E+6	2.618079315E+6
1.998092255E+3	100.000001490E-3	1.023037203E-9	42.177878723E-12	97.748157320E+6	4.029970671E+6
2.013092847E+3	100.000001490E-3	997.761108570E-12	16.403854988E-12	100.224393025E+6	1.647755555E+6
2.033093047E+3	100.000001490E-3	970.965514260E-12	5.810113146E-12	102.990271046E+6	616.278455701E+3
2.053092731E+3	100.000001490E-3	979.305821257E-12	4.636112648E-12	102.113149253E+6	483.411874559E+3
2.073092402E+3	100.000001490E-3	970.701934983E-12	12.019815508E-12	103.018236480E+6	1.275633798E+6
2.093092633E+3	100.000001490E-3	987.518884441E-12	8.201634801E-12	101.263887775E+6	841.026373383E+3
2.113092910E+3	100.000001490E-3	999.149557600E-12	21.568964687E-12	100.085118118E+6	2.160569819E+6
2.133092370E+3	100.000001490E-3	978.986571279E-12	13.134214005E-12	102.146448607E+6	1.370410336E+6
2.153091890E+3	100.000001490E-3	1.004379770E-9	13.420511312E-12	99.563934351E+6	1.330372183E+6
2.173092791E+3	100.000001490E-3	976.377956881E-12	8.543101802E-12	102.419355932E+6	896.147826815E+3
2.193092090E+3	100.000001490E-3	974.425262267E-12	6.999407733E-12	102.624598687E+6	737.164190500E+3
2.213092960E+3	100.000001490E-3	970.176763900E-12	5.338110172E-12	103.074001781E+6	567.134153143E+3
2.233092458E+3	100.000001490E-3	972.903648726E-12	6.134331882E-12	102.785102740E+6	648.078495337E+3
2.253092970E+3	100.000001490E-3	960.441613933E-12	19.161151787E-12	104.118772073E+6	2.077206534E+6
2.273092624E+3	100.000001490E-3	946.844977697E-12	31.022654435E-12	105.613911301E+6	3.460359352E+6
2.293092927E+3	100.000001490E-3	963.502784133E-12	28.330539096E-12	103.787973566E+6	3.051749607E+6
2.313092419E+3	100.000001490E-3	970.319019633E-12	7.514109598E-12	103.058890392E+6	798.083704250E+3
