[Main]
Experiment = "RvsB_75.00Vg_1.8K"
Header length = 71    
Date = "20200225 04:12:16"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 1.800000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 5.000000E-2
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear+Reveresed"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 50.000000E-3
Final Voltage (V) = 50.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
3.790904651E+3	-5.449987891E+0	50.000000745E-3	738.309100396E-9	588.827135197E-12	67.722314026E+3	54.010896162E+0	75.000000000E+0	96.515764825E-12	1.799900000E+0
3.829512063E+3	-5.399975000E+0	50.000000745E-3	738.144125648E-9	601.035216626E-12	67.737449920E+3	55.155343614E+0	75.000000000E+0	102.052124390E-12	1.800400000E+0
3.868074456E+3	-5.349978516E+0	50.000000745E-3	738.589806977E-9	616.354570595E-12	67.696575654E+3	56.492918564E+0	75.000000000E+0	97.828142115E-12	1.800400000E+0
3.906573333E+3	-5.299979687E+0	50.000000745E-3	738.580694046E-9	833.048770996E-12	67.697410924E+3	76.356240319E+0	75.000000000E+0	94.680333712E-12	1.799900000E+0
3.945223244E+3	-5.249980078E+0	50.000000745E-3	738.804825608E-9	528.168430789E-12	67.676873529E+3	48.381909340E+0	75.000000000E+0	99.744022070E-12	1.799900000E+0
3.983483541E+3	-5.199978125E+0	50.000000745E-3	738.521804212E-9	455.160306210E-12	67.702809125E+3	41.726095502E+0	75.000000000E+0	104.671978030E-12	1.800100000E+0
4.022230709E+3	-5.149983594E+0	50.000000745E-3	738.273501223E-9	459.550817736E-12	67.725579561E+3	42.156931567E+0	75.000000000E+0	99.040045609E-12	1.800100000E+0
4.060688407E+3	-5.099985156E+0	50.000000745E-3	738.820429126E-9	677.614014393E-12	67.675444227E+3	62.068978646E+0	75.000000000E+0	104.636713877E-12	1.800000000E+0
4.099237393E+3	-5.049980859E+0	50.000000745E-3	738.941484953E-9	633.197118681E-12	67.664357413E+3	57.981419400E+0	75.000000000E+0	98.929357067E-12	1.800000000E+0
4.137788828E+3	-4.999978906E+0	50.000000745E-3	738.752356588E-9	473.958742249E-12	67.681680199E+3	43.422296707E+0	75.000000000E+0	103.802039186E-12	1.800100000E+0
4.176413606E+3	-4.949982813E+0	50.000000745E-3	738.362874947E-9	581.731584772E-12	67.717381848E+3	53.352275955E+0	75.000000000E+0	101.604423486E-12	1.800100000E+0
4.214920857E+3	-4.899996875E+0	50.000000745E-3	738.574328943E-9	426.894081829E-12	67.697994346E+3	39.129268383E+0	75.000000000E+0	102.514637751E-12	1.800000000E+0
4.253179923E+3	-4.849982813E+0	50.000000745E-3	738.915418359E-9	945.994551071E-12	67.666744397E+3	86.630174304E+0	75.000000000E+0	100.085888882E-12	1.800000000E+0
4.291603888E+3	-4.799977344E+0	50.000000745E-3	738.254416259E-9	941.219631068E-12	67.727330367E+3	86.347323494E+0	75.000000000E+0	101.649728912E-12	1.800000000E+0
4.330065142E+3	-4.749984375E+0	50.000000745E-3	737.570541723E-9	410.050928952E-12	67.790127068E+3	37.687791209E+0	75.000000000E+0	95.469666200E-12	1.800000000E+0
4.368516549E+3	-4.699985547E+0	50.000000745E-3	738.843903281E-9	409.148755223E-12	67.673294079E+3	37.475363756E+0	75.000000000E+0	90.838426364E-12	1.800000000E+0
4.407613413E+3	-4.649982422E+0	50.000000745E-3	735.045810036E-9	802.822228354E-12	68.022972259E+3	74.295171025E+0	75.000000000E+0	87.695567474E-12	1.800000000E+0
4.446265365E+3	-4.599992578E+0	50.000000745E-3	738.125483966E-9	599.832901821E-12	67.739160659E+3	55.047790908E+0	75.000000000E+0	79.318109025E-12	1.800000000E+0
4.484909281E+3	-4.549981641E+0	50.000000745E-3	738.507664096E-9	451.844376458E-12	67.704105422E+3	41.423699151E+0	75.000000000E+0	83.577249288E-12	1.800000000E+0
