[Main]
Experiment = "RvsB_0.00Vg_2.0K"
Header length = 71    
Date = "20200220 14:40:41"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 0.000000E+0
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 2.000000E+0
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
7.222500440E+3	2.599984180E+0	100.000001490E-3	619.971351000E-12	1.011430162E-9	161.297778242E+6	263.143510984E+6	0.000000000E+0	-71.892644529E-12	2.000700000E+0
7.333051817E+3	2.799975977E+0	100.000001490E-3	881.506371667E-12	1.046435584E-9	113.442176602E+6	134.667126822E+6	0.000000000E+0	-55.815516445E-12	2.000300000E+0
7.443240040E+3	3.000017969E+0	100.000001490E-3	686.959534667E-12	996.295228554E-12	145.568983970E+6	211.118234534E+6	0.000000000E+0	-59.109363758E-12	2.000600000E+0
7.559764420E+3	3.200023828E+0	100.000001490E-3	706.389313233E-12	1.040354195E-9	141.564997682E+6	208.493725038E+6	0.000000000E+0	-61.638741160E-12	1.999200000E+0
7.673174016E+3	3.400020313E+0	100.000001490E-3	824.263181933E-12	1.009353662E-9	121.320475889E+6	148.563310057E+6	0.000000000E+0	-68.965750472E-12	1.999100000E+0
7.776898695E+3	3.600003125E+0	100.000001490E-3	780.843272000E-12	1.044576054E-9	128.066674935E+6	171.321681005E+6	0.000000000E+0	-67.567741679E-12	2.000400000E+0
7.902007598E+3	3.800011328E+0	100.000001490E-3	612.407066333E-12	1.011120926E-9	163.290084304E+6	269.601757325E+6	0.000000000E+0	-59.999561049E-12	2.000200000E+0
8.021202814E+3	4.000015234E+0	100.000001490E-3	523.647107333E-12	973.493507449E-12	190.968306880E+6	355.022312303E+6	0.000000000E+0	-56.841669913E-12	2.000400000E+0
8.148215513E+3	4.200033984E+0	100.000001490E-3	782.201887833E-12	1.044315060E-9	127.844234392E+6	170.684399313E+6	0.000000000E+0	-65.304857615E-12	2.000000000E+0
8.271208602E+3	4.400031641E+0	100.000001490E-3	664.071773800E-12	980.583049245E-12	150.586134565E+6	222.358812453E+6	0.000000000E+0	-72.128915687E-12	2.000500000E+0
8.394339724E+3	4.600025391E+0	100.000001490E-3	934.302858500E-12	1.005261876E-9	107.031676699E+6	115.160585417E+6	0.000000000E+0	-58.204046444E-12	2.000300000E+0
8.508361804E+3	4.800023828E+0	100.000001490E-3	678.890777267E-12	961.181768441E-12	147.299101474E+6	208.547848321E+6	0.000000000E+0	-59.516776230E-12	2.000300000E+0
8.624891263E+3	5.000019922E+0	100.000001490E-3	781.752783483E-12	1.054247695E-9	127.917678840E+6	172.505836699E+6	0.000000000E+0	-58.832690802E-12	1.999500000E+0
8.747473689E+3	5.200023047E+0	100.000001490E-3	782.297104400E-12	934.510242843E-12	127.828673950E+6	152.700558986E+6	0.000000000E+0	-60.311134212E-12	1.999400000E+0
8.869864887E+3	5.400028906E+0	100.000001490E-3	706.707871333E-12	991.405502311E-12	141.501185350E+6	198.505010953E+6	0.000000000E+0	-64.163217101E-12	1.999000000E+0
8.985561238E+3	5.600021484E+0	100.000001490E-3	736.944942233E-12	943.148188453E-12	135.695349488E+6	173.664022530E+6	0.000000000E+0	-63.836336911E-12	2.000600000E+0
9.093970580E+3	5.800030859E+0	100.000001490E-3	412.887547000E-12	853.466395887E-12	242.196700328E+6	500.636908105E+6	0.000000000E+0	-73.099488788E-12	1.999100000E+0
9.228661370E+3	6.000035937E+0	100.000001490E-3	658.721405733E-12	1.001669163E-9	151.809248371E+6	230.845151627E+6	0.000000000E+0	-62.996567338E-12	1.999500000E+0
9.347462409E+3	6.200044141E+0	100.000001490E-3	684.018416000E-12	952.172458152E-12	146.194896440E+6	203.507318891E+6	0.000000000E+0	-66.707852089E-12	1.999900000E+0
9.458885655E+3	6.400051953E+0	100.000001490E-3	761.219396667E-12	974.797993033E-12	131.368173129E+6	168.226705829E+6	0.000000000E+0	-62.730245824E-12	1.999600000E+0
9.576457531E+3	6.600039062E+0	100.000001490E-3	715.592163000E-12	946.561151749E-12	139.744405627E+6	184.849181392E+6	0.000000000E+0	-66.707738985E-12	2.000200000E+0
9.678002954E+3	6.800021875E+0	100.000001490E-3	799.881191667E-12	950.098269165E-12	125.018568422E+6	148.496960185E+6	0.000000000E+0	-64.751529485E-12	2.000300000E+0
9.794413888E+3	7.000025781E+0	100.000001490E-3	679.708767333E-12	982.791304533E-12	147.121835551E+6	212.723548136E+6	0.000000000E+0	-62.865684186E-12	1.999600000E+0
9.912744981E+3	7.200020313E+0	100.000001490E-3	831.151686380E-12	965.890740391E-12	120.314983569E+6	139.819398148E+6	0.000000000E+0	-52.843222506E-12	1.999500000E+0
10.021270167E+3	7.400022656E+0	100.000001490E-3	628.233540800E-12	988.418732292E-12	159.176476574E+6	250.437139962E+6	0.000000000E+0	-65.530986887E-12	2.000500000E+0
10.143802866E+3	7.600036719E+0	100.000001490E-3	744.572621757E-12	1.008496878E-9	134.305235739E+6	181.911618811E+6	0.000000000E+0	-69.720078495E-12	2.000800000E+0
10.259955427E+3	7.800041406E+0	100.000001490E-3	851.210513967E-12	969.686006693E-12	117.479753656E+6	133.831139678E+6	0.000000000E+0	-58.661660252E-12	2.000200000E+0
10.376303576E+3	8.000033594E+0	100.000001490E-3	661.021330667E-12	963.090984104E-12	151.281050778E+6	220.412578704E+6	0.000000000E+0	-62.317570895E-12	1.999600000E+0
10.493176305E+3	8.200033594E+0	100.000001490E-3	465.508089000E-12	921.443773430E-12	214.819041501E+6	425.220684416E+6	0.000000000E+0	-66.124421043E-12	2.000200000E+0
10.625347014E+3	8.400025781E+0	100.000001490E-3	956.299344833E-12	942.107461685E-12	104.569768902E+6	103.017909697E+6	0.000000000E+0	-61.367166210E-12	1.999900000E+0
10.739048152E+3	8.600017969E+0	100.000001490E-3	826.808209000E-12	1.036008489E-9	120.947035118E+6	151.549239271E+6	0.000000000E+0	-45.607218176E-12	2.000700000E+0
