[Main]
Experiment = "RvsT_75.00Vg"
Header length = 66    
Date = "20191121 22:36:05"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 7.500000E+1
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 1.000000E-1
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = FALSE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 1

[Dynamic Temperature]
Initial temperature (K) = 4.000000E+0
Final temperature (K) = 3.000000E+2
Ramp rate (K/min) = 1.000000E+1
Step control = "Step Control"
Temperature interval (K) = 1.000000
Stability Temperature (K) = 0.200000
Stability time (s) = FALSE
Go to other temperature at finish = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+0
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Temperature (K)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	STD_Voltage 2 (V)	Resistance 2 (Ohms)	STD_Resistance 2 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)
1.997335806E+3	47.935500000E+0	100.000001490E-3	12.400531667E-12	480.629582456E-15	8.064170487E+9	312.557477231E+6	-333.045310000E-6	7.842402269E-3	-26.857341197E+6	632.424679861E+6	75.000000000E+0	298.245761421E-12
2.042383423E+3	48.904900000E+0	100.000001490E-3	13.433411800E-12	953.172637347E-15	7.444125363E+9	528.200632162E+6	-505.707226667E-6	7.357994688E-3	-37.645479361E+6	547.738340614E+6	75.000000000E+0	328.063826105E-12
2.087338851E+3	49.919300000E+0	100.000001490E-3	14.373853500E-12	426.334141396E-15	6.957076715E+9	206.349628367E+6	75.601266667E-6	7.296649856E-3	5.259638041E+6	507.633520570E+6	75.000000000E+0	314.335918405E-12
2.132454524E+3	50.913800000E+0	100.000001490E-3	14.312123300E-12	454.848008543E-15	6.987083565E+9	222.053777658E+6	-236.784243333E-6	7.136936667E-3	-16.544312704E+6	498.663721508E+6	75.000000000E+0	335.103167437E-12
2.177457227E+3	51.911300000E+0	100.000001490E-3	15.737773833E-12	619.869101702E-15	6.354138937E+9	250.272652057E+6	-484.088940000E-6	7.032537806E-3	-30.759683366E+6	446.857216274E+6	75.000000000E+0	320.973470025E-12
2.222583595E+3	52.933300000E+0	100.000001490E-3	15.785942267E-12	448.069831659E-15	6.334750235E+9	179.806211352E+6	-263.774566667E-6	6.947338726E-3	-16.709459734E+6	440.096549738E+6	75.000000000E+0	321.627308120E-12
2.267629791E+3	53.914600000E+0	100.000001490E-3	18.308771200E-12	468.229722673E-15	5.461863082E+9	139.682046825E+6	-508.590900000E-6	6.935643657E-3	-27.778538190E+6	378.815354732E+6	75.000000000E+0	307.396663679E-12
2.312673254E+3	54.929800000E+0	100.000001490E-3	19.227869033E-12	605.527190917E-15	5.200784409E+9	163.783951742E+6	341.328493333E-6	6.799294370E-3	17.751758801E+6	353.616636269E+6	75.000000000E+0	335.002692253E-12
2.357621701E+3	55.917600000E+0	100.000001490E-3	20.758293100E-12	607.171506598E-15	4.817351841E+9	140.905553327E+6	-880.888276667E-6	6.688812933E-3	-42.435486985E+6	322.223648204E+6	75.000000000E+0	315.542925122E-12
2.402558891E+3	56.894100000E+0	100.000001490E-3	21.919455033E-12	832.804247499E-15	4.562157286E+9	173.333869840E+6	-37.404676667E-6	6.375605488E-3	-1.706460157E+6	290.865145962E+6	75.000000000E+0	326.555060770E-12
