[Main]
Experiment = "RvsB_100.00Vg_"
Header length = 66    
Date = "20200216 10:23:22"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Gate Voltage]
Set initial gate voltage = TRUE
Initial gate voltage (V) = 1.000000E+2
Initial gate volt. ramp step (V) = 1.000000E-1
Initial voltage ramp delay (s) = 5.000000E-2
Delay after inital voltage set = 1.000000
Leak current threshold for initial set = 1.000000
Set final gate voltage = FALSE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Auto-range = TRUE
Manual range (V) = 5.000000
Check Compliance = TRUE
Measuement speed = 1.000000
Number of measurements = 0

[Static Temperature]
Set initial temperature = FALSE
Set final temperature = FALSE

[Dynamic magnetic field]
Initial field (T) = -9.000000E+0
Final field (T) = 9.000000E+0
Measurement interval (T) = 2.000000E-1
Ramp rate (G/s) = 1.000000E+2
Delay after field step (s) = 1.000000E+0
Measurement Pattern = "Linear"
Go to other field at finish = TRUE
Finish field (T) = 0.000000
Finish ramp rate (G/s) = 100.000000
Delay before setting finish field (s) = 0.000000
Stabilize finish field = TRUE

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 100.000000E-3
Final Voltage (V) = 100.000000E-3
Voltage step (V) = 1.000000E-12
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 0
Manual range (V) = 10.000000E+0
Measurement Type = "Subtract bias"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Magnetic Field (T)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Gate Voltage (V)	Gate Leak Current (A)	Temperature (K)
4.628077622E+3	5.200029297E+0	100.000001490E-3	1.310683333E-12	315.364536483E-15	76.296080790E+9	18.357659354E+9	100.000000000E+0	68.407136899E-12	3.000400000E+0
4.694676904E+3	5.400027734E+0	100.000001490E-3	1.242203333E-12	328.410525863E-15	80.502119747E+9	21.282943597E+9	100.000000000E+0	67.964597839E-12	2.999900000E+0
4.767252986E+3	5.600039062E+0	100.000001490E-3	1.430784667E-12	383.211183685E-15	69.891720131E+9	18.719300972E+9	100.000000000E+0	68.180777690E-12	2.999400000E+0
4.833765292E+3	5.800035156E+0	100.000001490E-3	1.238859000E-12	326.236951767E-15	80.719437394E+9	21.256384466E+9	100.000000000E+0	70.695058835E-12	3.001300000E+0
4.900263086E+3	6.000039453E+0	100.000001490E-3	1.303092333E-12	365.408248330E-15	76.740533984E+9	21.519291751E+9	100.000000000E+0	70.679958414E-12	2.998300000E+0
4.960757318E+3	6.200047266E+0	100.000001490E-3	1.351278667E-12	402.134308211E-15	74.003981530E+9	22.023244096E+9	NaN	NaN	3.000400000E+0
5.094994483E+3	6.400039063E+0	100.000001490E-3	1.400966333E-12	353.693012561E-15	71.379303778E+9	18.020676434E+9	100.000000000E+0	72.294101955E-12	2.998100000E+0
5.155492258E+3	6.600041406E+0	100.000001490E-3	1.274449667E-12	336.041349027E-15	78.465241983E+9	20.689373976E+9	100.000000000E+0	75.296142238E-12	2.998600000E+0
5.228006352E+3	6.800025000E+0	100.000001490E-3	1.325012000E-12	369.834427183E-15	75.471015727E+9	21.065303462E+9	100.000000000E+0	73.450588667E-12	3.000500000E+0
5.294528321E+3	7.000031250E+0	100.000001490E-3	1.298924667E-12	357.842845758E-15	76.986759938E+9	21.209206330E+9	100.000000000E+0	72.193558076E-12	2.998700000E+0
5.355004662E+3	7.200019531E+0	100.000001490E-3	1.191965667E-12	334.601400104E-15	83.895035140E+9	23.550507372E+9	100.000000000E+0	68.769043932E-12	3.000000000E+0
5.421549756E+3	7.400035156E+0	100.000001490E-3	1.102718333E-12	386.218805693E-15	90.684990416E+9	31.761736097E+9	100.000000000E+0	71.997446893E-12	2.999400000E+0
5.488062155E+3	7.600028125E+0	100.000001490E-3	1.048187333E-12	320.102895210E-15	95.402795197E+9	29.134783433E+9	100.000000000E+0	58.380129203E-12	2.998800000E+0
5.548570024E+3	7.800035937E+0	100.000001490E-3	1.108493333E-12	316.214470795E-15	90.212542090E+9	25.734490590E+9	100.000000000E+0	50.731651519E-12	3.000100000E+0
5.609056814E+3	8.000028125E+0	100.000001490E-3	1.107207000E-12	329.659893434E-15	90.317349412E+9	26.891094242E+9	100.000000000E+0	56.750878302E-12	3.001600000E+0
5.675556677E+3	8.200035156E+0	100.000001490E-3	1.063067000E-12	280.770004998E-15	94.067449643E+9	24.844453178E+9	100.000000000E+0	48.810819969E-12	2.999200000E+0
5.742108787E+3	8.400046875E+0	100.000001490E-3	1.214300000E-12	336.622575479E-15	82.351973557E+9	22.829229543E+9	100.000000000E+0	53.266131783E-12	3.000100000E+0
5.802652699E+3	8.600236719E+0	100.000001490E-3	1.386002333E-12	348.615564820E-15	72.149951761E+9	18.147585743E+9	100.000000000E+0	52.672723821E-12	3.001500000E+0
5.863123841E+3	8.800047656E+0	100.000001490E-3	1.366494667E-12	343.168259645E-15	73.179942761E+9	18.377703339E+9	100.000000000E+0	53.623102486E-12	2.998500000E+0
5.929590377E+3	9.000025781E+0	100.000001490E-3	1.292500667E-12	388.392324096E-15	77.369400318E+9	23.249257798E+9	100.000000000E+0	50.289140907E-12	3.000300000E+0
