[Main]
Experiment = "IvsV_400.0K"
Header length = 55    
Date = "20201124 23:43:36"
Comments = ""

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Static Temperature]
Set initial temperature = TRUE
Initial temperature (K) = 4.000000E+2
Delay after setting initial temperature (s) = 1.000000E+1
Initial temperature stabilization (K) = 2.000000E-1
Initial temperature ramp rate (K/min) = 1.000000E+1
Wait for initial temperature to stabilize = TRUE
Set final temperature = FALSE

[Measure Voltage Configuration1]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::7::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Measure Voltage Configuration2]
Voltage meter = "Keithley 2182A"
Auto-range = "Manual"
GPIB = "GPIB0::8::INSTR"
Range (V) = 1.000000E+1
Speed = 1.000000

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = -10.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 10.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = 1
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = 0
Measurement Speed = 1.000000
Time (s)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)	Temperature (K)
292.494684696E+0	-9.539999962E+0	-3.800039167E-6	136.530426906E-12	2.510500430E+6	90.198990174E+0	-585.089945900E-3	596.796860233E-3	293.881257943E-6	207.475440764E-6	153.969451429E+3	-157.050186606E+3	77.336376035E+0	54.598237456E+0	400.011200000E+0
298.829165459E+0	-9.529999733E+0	-3.796893500E-6	153.890187001E-12	2.509946548E+6	101.729517463E+0	-584.488527733E-3	596.158918900E-3	228.225365210E-6	176.392404575E-6	153.938615274E+3	-157.012283568E+3	60.108445288E+0	46.457032459E+0	400.011200000E+0
305.169084549E+0	-9.520000458E+0	-3.793912800E-6	153.057888530E-12	2.509282885E+6	101.232042066E+0	-584.214018767E-3	595.466875700E-3	250.388694428E-6	185.157468878E-6	153.987202544E+3	-156.953231951E+3	65.997482712E+0	48.803828300E+0	400.011200000E+0
311.507108688E+0	-9.510000229E+0	-3.790942500E-6	138.232874477E-12	2.508611046E+6	91.473958200E+0	-583.741490433E-3	594.966455933E-3	283.835449163E-6	209.116799531E-6	153.983208775E+3	-156.944204755E+3	74.872000607E+0	55.162218770E+0	399.998300000E+0
318.053320408E+0	-9.500000000E+0	-3.787976000E-6	142.760228210E-12	2.507935636E+6	94.518408718E+0	-583.307387100E-3	594.361566100E-3	292.299957275E-6	193.713514818E-6	153.989198216E+3	-156.907426578E+3	77.165208353E+0	51.139055479E+0	399.998300000E+0
324.393110275E+0	-9.489999771E+0	-3.785066600E-6	200.511002364E-12	2.507221345E+6	132.818129277E+0	-582.860964500E-3	593.763708900E-3	246.839905349E-6	234.289967724E-6	153.989619232E+3	-156.870082260E+3	65.214151146E+0	61.898506019E+0	399.998300000E+0
330.737811565E+0	-9.479999542E+0	-3.782142400E-6	173.431413453E-12	2.506515763E+6	114.937124409E+0	-582.450551467E-3	593.100969533E-3	265.321447821E-6	187.828368380E-6	154.000164422E+3	-156.816139322E+3	70.151099499E+0	49.661897548E+0	399.998300000E+0
337.077264786E+0	-9.470000267E+0	-3.778879033E-6	119.552465278E-12	2.506034245E+6	79.283451382E+0	-581.932124133E-3	592.551415333E-3	260.884131301E-6	193.705387673E-6	153.995965206E+3	-156.806134863E+3	69.037439145E+0	51.260012815E+0	399.998300000E+0
343.415295124E+0	-9.460000038E+0	-3.775413133E-6	153.764874993E-12	2.505686054E+6	102.051481344E+0	-581.475181367E-3	591.869120133E-3	256.588012808E-6	250.823372089E-6	154.016305191E+3	-156.769365161E+3	67.962896707E+0	66.436006665E+0	399.998300000E+0
349.750368595E+0	-9.449999809E+0	-3.771823367E-6	137.479147844E-12	2.505419499E+6	91.320007386E+0	-581.065182000E-3	591.205927600E-3	309.015434001E-6	226.028891293E-6	154.054186931E+3	-156.742739553E+3	81.927334332E+0	59.925629946E+0	399.998300000E+0
356.092594147E+0	-9.439999580E+0	-3.768414267E-6	149.799620950E-12	2.505032333E+6	99.578461211E+0	-580.595601533E-3	590.505431667E-3	286.822704153E-6	257.119299014E-6	154.068942650E+3	-156.698650913E+3	76.112307155E+0	68.230104447E+0	399.998300000E+0
362.437829494E+0	-9.430000305E+0	-3.764727667E-6	109.205384904E-12	2.504829337E+6	72.658868338E+0	-580.153729333E-3	590.039300367E-3	275.108922286E-6	211.799084968E-6	154.102442647E+3	-156.728282258E+3	73.075384634E+0	56.258806406E+0	399.998300000E+0
368.777715206E+0	-9.420000076E+0	-3.761269900E-6	126.255720253E-12	2.504473310E+6	84.068436995E+0	-579.552794800E-3	589.516716533E-3	278.873382500E-6	222.939570110E-6	154.084341249E+3	-156.733425733E+3	74.143411644E+0	59.272420230E+0	399.998300000E+0
375.118119717E+0	-9.409999847E+0	-3.758115400E-6	120.586955319E-12	2.503914554E+6	80.343310507E+0	-579.128335367E-3	588.831176167E-3	260.123592180E-6	195.507759462E-6	154.100732342E+3	-156.682569185E+3	69.216499360E+0	52.022819592E+0	399.998900000E+0
381.665998936E+0	-9.399999619E+0	-3.755547500E-6	178.772587191E-12	2.502963847E+6	119.146761581E+0	-578.591521900E-3	588.132291567E-3	303.472165476E-6	163.078942554E-6	154.063161736E+3	-156.603608812E+3	80.806371235E+0	43.423480213E+0	399.998900000E+0
388.009379864E+0	-9.390000343E+0	-3.753225567E-6	242.427334770E-12	2.501848124E+6	161.598700092E+0	-578.090811667E-3	587.529607533E-3	272.949243948E-6	223.151278242E-6	154.025064947E+3	-156.539914028E+3	72.723911500E+0	59.455866502E+0	399.998900000E+0
394.347696781E+0	-9.380000114E+0	-3.751089233E-6	151.803112806E-12	2.500607032E+6	101.197254383E+0	-577.648487967E-3	586.959790267E-3	279.673553855E-6	200.448430023E-6	153.994867100E+3	-156.477160034E+3	74.557958091E+0	53.437393129E+0	399.998900000E+0
400.689774036E+0	-9.369999886E+0	-3.748471733E-6	138.606347402E-12	2.499685352E+6	92.430270519E+0	-577.190698367E-3	586.323988100E-3	315.041160540E-6	213.619647488E-6	153.980272342E+3	-156.416809252E+3	84.045227749E+0	56.988464282E+0	399.998900000E+0
407.028334141E+0	-9.359999657E+0	-3.745493733E-6	135.408178160E-12	2.499002888E+6	90.344678800E+0	-576.677462767E-3	585.806240200E-3	252.854614491E-6	198.124592934E-6	153.965672839E+3	-156.402942284E+3	67.509020838E+0	52.896789326E+0	399.998900000E+0
413.374027729E+0	-9.350000381E+0	-3.741999000E-6	92.618237573E-12	2.498664586E+6	61.844460734E+0	-576.304222233E-3	585.077690067E-3	283.440476696E-6	226.474371027E-6	154.009721070E+3	-156.354314917E+3	75.745738226E+0	60.522295978E+0	399.998900000E+0
419.712933540E+0	-9.340000153E+0	-3.738287400E-6	146.667251827E-12	2.498470330E+6	98.024506361E+0	-575.702228867E-3	584.517139933E-3	275.742505440E-6	187.270737973E-6	154.001596792E+3	-156.359604650E+3	73.761719187E+0	50.095329207E+0	399.998900000E+0
